created	project_machine_name	version	project_name
2020-11-26 03:08:53	drupal	8.8.12	Drupal core
2020-11-26 03:00:00	drupal	8.9.10	Drupal core
2020-11-26 02:57:22	drupal	9.0.9	Drupal core
2020-11-26 02:25:59	drupal	7.75	Drupal core
2020-11-26 02:17:23	drupal	9.1.0-rc3	Drupal core
2020-11-25 19:24:24	drupal	9.1.0-rc2	Drupal core
2020-11-18 16:47:15	drupal	7.74	Drupal core
2020-11-18 16:46:49	drupal	8.8.11	Drupal core
2020-11-18 16:46:18	drupal	8.9.9	Drupal core
2020-11-18 16:45:53	drupal	9.0.8	Drupal core
2020-11-18 16:45:28	drupal	9.1.0-rc1	Drupal core
2020-11-06 14:14:55	drupal	9.1.0-beta1	Drupal core
2020-11-05 16:45:01	drupal	8.9.8	Drupal core
2020-10-23 15:21:20	drupal	9.1.0-alpha1	Drupal core
2020-10-07 19:45:54	drupal	8.9.7	Drupal core
2020-10-07 19:44:15	drupal	9.0.7	Drupal core
2020-09-16 16:05:52	drupal	7.73	Drupal core
2020-09-16 16:05:30	drupal	8.8.10	Drupal core
2020-09-16 16:05:07	drupal	8.9.6	Drupal core
2020-09-16 16:04:46	drupal	9.0.6	Drupal core
2020-09-03 21:15:58	drupal	8.8.9	Drupal core
2020-09-03 21:14:24	drupal	8.9.5	Drupal core
2020-09-03 21:12:35	drupal	9.0.5	Drupal core
2020-09-02 11:40:43	drupal	8.9.4	Drupal core
2020-09-02 11:33:44	drupal	9.0.4	Drupal core
2020-08-05 21:53:13	drupal	8.9.3	Drupal core
2020-08-05 21:52:24	drupal	9.0.3	Drupal core
2020-07-08 19:40:41	drupal	8.9.2	Drupal core
2020-07-08 19:39:41	drupal	9.0.2	Drupal core
2020-06-17 18:13:04	drupal	7.72	Drupal core
2020-06-17 18:12:39	drupal	8.8.8	Drupal core
2020-06-17 18:12:18	drupal	8.9.1	Drupal core
2020-06-17 18:11:56	drupal	9.0.1	Drupal core
2020-06-03 21:58:31	drupal	9.0.0	Drupal core
2020-06-03 17:01:01	drupal	8.9.0	Drupal core
2020-06-03 17:00:49	drupal	8.8.7	Drupal core
2020-06-03 08:30:05	drupal	7.71	Drupal core
2020-05-22 23:02:17	drupal	8.9.0-rc1	Drupal core
2020-05-22 22:39:37	drupal	9.0.0-rc1	Drupal core
2020-05-20 15:42:12	drupal	7.70	Drupal core
2020-05-20 15:30:20	drupal	8.8.6	Drupal core
2020-05-20 15:29:43	drupal	8.7.14	Drupal core
2020-05-17 20:07:39	drupal	8.9.0-beta3	Drupal core
2020-05-16 00:09:16	drupal	9.0.0-beta3	Drupal core
2020-04-02 20:19:33	drupal	8.7.13	Drupal core
2020-04-02 20:17:37	drupal	8.8.5	Drupal core
2020-04-02 20:16:19	drupal	8.9.0-beta2	Drupal core
2020-03-30 19:21:53	drupal	9.0.0-beta2	Drupal core
2020-03-26 22:41:32	drupal	8.9.0-beta1	Drupal core
2020-03-20 19:30:39	drupal	9.0.0-beta1	Drupal core
2020-03-18 17:16:19	drupal	8.8.4	Drupal core
2020-03-18 17:16:08	drupal	8.7.12	Drupal core
2020-03-04 18:41:32	drupal	9.0.0-alpha2	Drupal core
2020-03-04 18:09:00	drupal	8.8.3	Drupal core
2020-02-11 18:35:01	drupal	9.0.0-alpha1	Drupal core
2020-02-01 20:23:54	drupal	8.8.2	Drupal core
2019-12-18 19:01:32	drupal	8.8.1	Drupal core
2019-12-18 19:01:27	drupal	8.7.11	Drupal core
2019-12-18 19:01:20	drupal	7.69	Drupal core
2019-12-04 13:31:40	drupal	7.68	Drupal core
2019-12-04 09:06:48	drupal	8.8.0	Drupal core
2019-11-22 22:38:30	drupal	8.8.0-rc1	Drupal core
2019-11-13 23:33:55	drupal	8.6.18	Drupal core
2019-11-13 23:31:26	drupal	8.7.10	Drupal core
2019-11-08 23:36:13	drupal	8.8.0-beta1	Drupal core
2019-11-06 18:03:00	drupal	8.7.9	Drupal core
2019-10-17 23:41:21	drupal	8.8.0-alpha1	Drupal core
2019-10-02 19:24:32	drupal	8.7.8	Drupal core
2019-09-04 10:32:45	drupal	8.7.7	Drupal core
2019-08-07 19:32:10	drupal	8.7.6	Drupal core
2019-07-17 16:26:51	drupal	8.7.5	Drupal core
2019-07-04 07:33:38	drupal	8.7.4	Drupal core
2019-06-17 07:30:47	drupal	8.6.17	Drupal core
2019-06-05 19:24:21	drupal	8.7.3	Drupal core
2019-05-23 07:37:22	drupal	8.7.2	Drupal core
2019-05-08 17:15:22	drupal	8.7.1	Drupal core
2019-05-08 17:15:17	drupal	8.6.16	Drupal core
2019-05-08 17:15:13	drupal	7.67	Drupal core
2019-05-01 18:53:55	drupal	8.7.0	Drupal core
2019-04-18 16:01:08	drupal	8.7.0-rc1	Drupal core
2019-04-17 20:33:56	drupal	7.66	Drupal core
2019-04-17 20:33:40	drupal	8.5.15	Drupal core
2019-04-17 20:33:22	drupal	8.6.15	Drupal core
2019-04-08 01:50:23	drupal	8.6.14	Drupal core
2019-04-08 00:52:51	drupal	8.7.0-beta2	Drupal core
2019-03-29 17:46:02	drupal	8.7.0-beta1	Drupal core
2019-03-20 18:20:31	drupal	8.7.0-alpha2	Drupal core
2019-03-20 16:31:18	drupal	8.6.13	Drupal core
2019-03-20 16:31:14	drupal	8.5.14	Drupal core
2019-03-20 16:31:09	drupal	7.65	Drupal core
2019-03-14 22:25:46	drupal	8.7.0-alpha1	Drupal core
2019-03-14 22:12:58	drupal	8.5.13	Drupal core
2019-03-14 22:11:36	drupal	8.6.12	Drupal core
2019-03-13 21:10:27	drupal	8.5.12	Drupal core
2019-03-13 21:08:18	drupal	8.6.11	Drupal core
2019-02-20 19:46:24	drupal	8.6.10	Drupal core
2019-02-20 19:45:38	drupal	8.5.11	Drupal core
2019-02-08 12:24:06	drupal	8.6.9	Drupal core
2019-02-06 19:22:57	drupal	7.64	Drupal core
2019-02-06 15:22:21	drupal	8.6.8	Drupal core
2019-01-16 23:42:23	drupal	8.6.7	Drupal core
2019-01-16 23:40:41	drupal	8.5.10	Drupal core
2019-01-16 23:37:55	drupal	7.63	Drupal core
2019-01-16 18:29:10	drupal	8.6.6	Drupal core
2019-01-16 18:29:06	drupal	8.5.9	Drupal core
2019-01-16 18:29:02	drupal	7.62	Drupal core
2019-01-02 22:16:51	drupal	8.6.5	Drupal core
2018-12-05 12:05:26	drupal	8.6.4	Drupal core
2018-11-08 13:34:14	drupal	7.61	Drupal core
2018-11-07 14:55:05	drupal	8.6.3	Drupal core
2018-10-17 22:46:49	drupal	8.6.2	Drupal core
2018-10-17 22:44:30	drupal	7.60	Drupal core
2018-10-17 22:43:53	drupal	8.5.8	Drupal core
2018-09-10 13:21:26	drupal	8.6.1	Drupal core
2018-09-05 22:37:44	drupal	8.5.7	Drupal core
2018-09-05 22:23:25	drupal	8.6.0	Drupal core
2018-08-17 19:00:53	drupal	8.6.0-rc1	Drupal core
2018-08-03 12:05:18	drupal	8.6.0-beta2	Drupal core
2018-08-03 04:26:07	drupal	8.6.0-beta1	Drupal core
2018-08-01 20:54:14	drupal	8.5.6	Drupal core
2018-07-19 20:55:46	drupal	8.6.0-alpha1	Drupal core
2018-07-04 21:13:31	drupal	8.5.5	Drupal core
2018-06-06 21:12:14	drupal	8.5.4	Drupal core
2018-04-25 16:12:19	drupal	7.59	Drupal core
2018-04-25 16:12:13	drupal	8.5.3	Drupal core
2018-04-25 16:12:08	drupal	8.4.8	Drupal core
2018-04-18 17:38:43	drupal	8.5.2	Drupal core
2018-04-18 17:38:29	drupal	8.4.7	Drupal core
2018-03-28 19:03:32	drupal	8.5.1	Drupal core
2018-03-28 19:03:20	drupal	8.4.6	Drupal core
2018-03-28 19:02:39	drupal	7.58	Drupal core
2018-03-28 18:57:45	drupal	8.3.9	Drupal core
2018-03-12 19:13:35	drupal	8.3.8	Drupal core
2018-03-07 21:19:58	drupal	8.5.0	Drupal core
2018-02-21 17:42:59	drupal	7.57	Drupal core
2018-02-21 17:39:56	drupal	8.5.0-rc1	Drupal core
2018-02-21 17:38:38	drupal	8.4.5	Drupal core
2018-02-09 21:18:40	drupal	8.5.0-beta1	Drupal core
2018-01-19 00:06:01	drupal	8.5.0-alpha1	Drupal core
2018-01-03 23:09:15	drupal	8.4.4	Drupal core
2017-12-06 22:52:00	drupal	8.4.3	Drupal core
2017-11-03 14:33:40	drupal	8.4.2	Drupal core
2017-11-01 18:52:07	drupal	8.4.1	Drupal core
2017-10-04 19:44:08	drupal	8.4.0	Drupal core
2017-09-20 12:48:08	drupal	8.4.0-rc2	Drupal core
2017-09-06 21:19:38	drupal	8.4.0-rc1	Drupal core
2017-08-17 17:44:20	drupal	8.4.0-beta1	Drupal core
2017-08-16 17:16:33	drupal	8.3.7	Drupal core
2017-08-03 20:06:00	drupal	8.4.0-alpha1	Drupal core
2017-08-02 15:33:27	drupal	8.3.6	Drupal core
2017-07-05 17:13:09	drupal	8.3.5	Drupal core
2017-06-21 18:30:01	drupal	7.56	Drupal core
2017-06-21 18:25:19	drupal	8.3.4	Drupal core
2017-06-07 22:17:32	drupal	7.55	Drupal core
2017-06-07 17:53:24	drupal	8.3.3	Drupal core
2017-05-03 18:03:04	drupal	8.3.2	Drupal core
2017-04-19 17:27:50	drupal	8.3.1	Drupal core
2017-04-19 17:27:15	drupal	8.2.8	Drupal core
2017-04-06 00:33:39	drupal	8.3.0	Drupal core
2017-03-15 21:30:14	drupal	8.3.0-rc2	Drupal core
2017-03-15 20:26:00	drupal	8.2.7	Drupal core
2017-03-01 15:44:51	drupal	8.3.0-rc1	Drupal core
2017-02-15 16:24:23	drupal	8.3.0-beta1	Drupal core
2017-02-01 22:04:25	drupal	7.54	Drupal core
2017-02-01 18:56:23	drupal	8.2.6	Drupal core
2017-02-01 17:03:32	drupal	8.3.0-alpha1	Drupal core
2017-01-04 11:38:00	drupal	8.2.5	Drupal core
2016-12-07 23:08:58	drupal	7.53	Drupal core
2016-12-07 18:50:41	drupal	8.2.4	Drupal core
2016-11-16 19:00:05	drupal	7.52	Drupal core
2016-11-16 18:53:58	drupal	8.2.3	Drupal core
2016-11-02 17:58:59	drupal	8.2.2	Drupal core
2016-10-11 10:21:51	drupal	8.2.1	Drupal core
2016-10-05 18:52:00	drupal	7.51	Drupal core
2016-10-05 09:47:38	drupal	8.2.0	Drupal core
2016-09-21 19:03:07	drupal	8.2.0-rc2	Drupal core
2016-09-21 17:28:14	drupal	8.1.10	Drupal core
2016-09-07 21:50:13	drupal	8.2.0-rc1	Drupal core
2016-09-07 19:22:47	drupal	8.1.9	Drupal core
2016-08-26 14:40:27	drupal	8.2.0-beta3	Drupal core
2016-08-20 16:35:53	drupal	8.2.0-beta2	Drupal core
2016-08-03 14:12:44	drupal	8.1.8	Drupal core
2016-08-03 13:26:33	drupal	8.2.0-beta1	Drupal core
2016-07-18 15:22:07	drupal	8.1.7	Drupal core
2016-07-11 13:19:42	drupal	8.1.6	Drupal core
2016-07-07 19:01:54	drupal	7.50	Drupal core
2016-07-07 09:41:27	drupal	8.1.5	Drupal core
2016-07-06 13:20:10	drupal	8.1.4	Drupal core
2016-06-15 20:17:13	drupal	8.1.3	Drupal core
2016-06-15 20:11:59	drupal	7.44	Drupal core
2016-06-01 23:38:10	drupal	8.1.2	Drupal core
2016-05-04 11:31:26	drupal	8.1.1	Drupal core
2016-04-20 01:43:26	drupal	8.1.0	Drupal core
2016-04-06 21:04:09	drupal	8.1.0-rc1	Drupal core
2016-04-05 23:51:25	drupal	8.0.6	Drupal core
2016-03-23 02:26:50	drupal	8.1.0-beta2	Drupal core
2016-03-03 03:35:42	drupal	8.1.0-beta1	Drupal core
2016-03-02 10:34:51	drupal	8.0.5	Drupal core
2016-02-24 19:33:57	drupal	7.43	Drupal core
2016-02-24 19:27:08	drupal	8.0.4	Drupal core
2016-02-24 19:26:47	drupal	6.38	Drupal core
2016-02-03 16:31:38	drupal	7.42	Drupal core
2016-02-03 08:52:02	drupal	8.0.3	Drupal core
2016-01-06 22:46:31	drupal	8.0.2	Drupal core
2015-12-02 14:38:00	drupal	8.0.1	Drupal core
2015-11-19 14:13:58	drupal	8.0.0	Drupal core
2015-11-13 11:29:20	drupal	8.0.0-rc4	Drupal core
2015-11-04 10:29:24	drupal	8.0.0-rc3	Drupal core
2015-10-21 23:10:20	drupal	8.0.0-rc2	Drupal core
2015-10-21 19:53:17	drupal	7.41	Drupal core
2015-10-14 23:37:00	drupal	7.40	Drupal core
2015-10-07 21:27:35	drupal	8.0.0-rc1	Drupal core
2015-10-02 00:46:21	drupal	8.0.0-beta16	Drupal core
2015-09-04 09:02:43	drupal	8.0.0-beta15	Drupal core
2015-08-19 21:25:14	drupal	7.39	Drupal core
2015-08-19 21:24:29	drupal	6.37	Drupal core
2015-08-03 09:18:19	drupal	8.0.0-beta14	Drupal core
2015-07-29 18:25:20	drupal	8.0.0-beta13	Drupal core
2015-06-29 18:16:09	drupal	8.0.0-beta12	Drupal core
