created	project_machine_name	version	project_name
2007-01-29 21:54:14	drupal	4.7.6	Drupal core
2007-01-15 12:16:17	drupal	5.0	Drupal core
2007-01-10 19:36:21	drupal	5.0-rc2	Drupal core
2007-01-05 00:48:36	drupal	4.7.5	Drupal core
2007-01-05 00:47:23	drupal	4.6.11	Drupal core
2006-12-15 09:19:41	drupal	5.0-rc1	Drupal core
2006-11-28 16:36:21	drupal	5.0-beta2	Drupal core
2006-10-31 15:19:34	drupal	5.0-beta1	Drupal core
2006-10-18 20:42:59	drupal	4.7.4	Drupal core
2006-10-18 20:42:52	drupal	4.6.10	Drupal core
2006-08-02 18:24:25	drupal	4.7.3	Drupal core
2006-08-02 18:24:23	drupal	4.6.9	Drupal core
2006-06-02 00:10:25	drupal	4.6.8	Drupal core
2006-06-02 00:10:13	drupal	4.7.2	Drupal core
2006-05-25 01:39:22	drupal	4.6.7	Drupal core
2006-05-25 01:39:06	drupal	4.7.1	Drupal core
2006-05-01 09:50:46	drupal	4.7.0	Drupal core
2006-04-28 14:01:18	drupal	4.7.0-rc4	Drupal core
2006-04-15 04:24:39	drupal	4.7.0-rc3	Drupal core
2006-04-07 16:58:13	drupal	4.7.0-rc2	Drupal core
2006-03-31 09:56:08	drupal	4.7.0-rc1	Drupal core
2006-03-14 00:58:48	drupal	4.6.6	Drupal core
2006-03-14 00:58:46	drupal	4.7.0-beta6	Drupal core
2006-03-14 00:58:43	drupal	4.5.8	Drupal core
2006-03-02 21:45:33	drupal	4.7.0-beta5	Drupal core
2006-01-26 20:24:09	drupal	4.7.0-beta4	Drupal core
2006-01-09 23:20:40	drupal	4.7.0-beta3	Drupal core
2005-12-12 19:20:25	drupal	4.6.5	Drupal core
2005-12-12 19:20:23	drupal	4.5.7	Drupal core
2005-12-01 09:12:55	drupal	4.6.4	Drupal core
2005-12-01 09:09:21	drupal	4.5.6	Drupal core
2005-08-15 00:55:44	drupal	4.6.3	Drupal core
2005-08-15 00:55:43	drupal	4.5.5	Drupal core
2005-06-30 00:23:20	drupal	4.6.2	Drupal core
2005-06-29 23:50:35	drupal	4.5.4	Drupal core
2005-06-01 22:13:13	drupal	4.6.1	Drupal core
2005-06-01 22:11:57	drupal	4.4.3	Drupal core
2005-06-01 22:11:26	drupal	4.5.3	Drupal core
2005-04-15 17:02:39	drupal	4.6.0	Drupal core
2005-03-07 19:10:39	drupal	4.4.0	Drupal core
2005-03-07 19:10:39	drupal	4.0.0	Drupal core
2005-03-07 19:10:39	drupal	4.4.2	Drupal core
2005-03-07 19:10:39	drupal	4.5.0	Drupal core
2005-03-07 19:10:39	drupal	4.1.0	Drupal core
2005-03-07 19:10:39	drupal	4.3.1	Drupal core
2005-03-07 19:10:39	drupal	4.5.2	Drupal core
2005-03-07 19:10:39	drupal	4.2.0	Drupal core
2005-03-07 19:10:39	drupal	4.4.1	Drupal core
2005-03-07 19:10:39	drupal	4.3.0	Drupal core
2005-03-07 19:10:39	drupal	4.5.1	Drupal core
2005-03-07 19:10:39	drupal	4.3.2	Drupal core
